Kalimat,Formalitas
diluar sana justru semua yang bisa didaur ulang digalakkan harus didaur ulang,1
tp mrk bkin plstik tipis yg ktny ramah lingkungn,0
tapi mereka membuat plastik tipis yang menurut mereka ramah lingkungan,1
di swedia tong sampah itu mesin terminal daur ulang ,0
di swedia tong sampah adalah mesin terminal daur ulang,1
jd lu buang lgsg dicuci didaur disitu ,0
jadi ketika kamu buang akan langsung dicuci dan didaur di situ,1
dan kl lu buang sampah plastik ke mesin itu lu dibayar ,0
dan jika kamu membuang sampah plastik ke mesin itu kamu dibayar,1
masukin sampah dapet duit,0
masukkan sampah dan dapatkan uang,1
makanan jg kl bungkus plastik plastiknya campuran dr bahan dasar kertas minyak,0
makanan pun jika bungkusnya plastik maka plastiknya berupa campuran dari kertas minyak,1
jd kedaur gampang tp ttp gk sobek,0
jadi mudah terdaur ulang tapi tetap tidak sobek,1
eh gw baru denger nih berita bayi debora,0
saya baru mendengar berita mengenai bayi debora,1
minta di tuntut rmh sakitnya,0
rumah sakit itu minta dituntut,1
emg dokter skrg bener bgt stigmanya,0
memang dokter sekarang memiliki stigma yang sangat benar,1
dokter cuma duit doang ngincernya,0
dokter hanya mengincar uang,1
makanya gw ud blg kan,0
makanya sudah kukatakan sebelumnya,1
rumah sakit jd dagang nyawa,0
rumah sakit menjadi tempat berdagang nyawa,1
bangkrut sudah itu rmh sakit,0
bangkrutlah rumah sakit itu,1
mnrt lu knp bs gt,0
kenapa menurutmu bisa begitu,1
gw ga merasa binus bs salah atau lupa,0
saya tidak merasa binus bisa melakukan kesalahan atau lupa,1
derry kunci gw lu taruh mana kali ini,0
derry di mana kamu letakkan kunci saya kali ini,1
eh kalian harus gua sidang hr snen ehehehehe,0
kalian harus saya sidang hari senin hahahaha,1
gw aja gk liat lu bawa kuncu,0
saya bahkan tidak melihat kamu membawa kunci,1
hari ini gw ga bawa kunci,0
hari ini saya tidak membawa kunci,1
gw yg gk liat lu bawa kunci,0
saya yang tidak melihat kamu membawa kunci,1
jd kita terus aja ulnya d lanjutin gaada review bab lg,0
jadi kami meneruskan ulangannya tanpa peninjauan ulang lagi,1
gila ya bab ini si banyak luh,0
gila bab ini banyak sekali,1
tapi entah kenapa gua fine ja,0
tapi entah kenapa saya baik baik saja,1
masuk akal semua jadi cepat diterima otak,0
semuanya masuk akal sehingga cepat dimengerti,1
awalnya gua takut banget wkwkwk,0
awalnya saya takut sekali hahaha,1
ga kyk si bab awal itu,0
tidak seperti bab pertama,1
ngurus kenapa biji gua nolak jadi taoge aja bisa seharian,0
mengurus biji tanamanku yang tidak mau tumbuh menjadi taoge saja habis seharian,1
yang ada berjenis jenis itu jason,0
yang ada banyak jenisnya itu jason,1
jujur menurut gua materi genetik sdkt susah,0
sejujurnya menurut saya materi genetik sedikit sulit,1
oiya laporan lu brp kertas,0
oh ya laporan kamu menghabiskan berapa kertas,1
apa aja jir yg bikin panjang,0
apa saja yang membuatnya panjang,1
analisis sama kesimpulan kali ini gw hrs ganti format,0
untuk analisis dan kesimpulan kali ini saya harus mengganti formatnya,1
gw ga paham,0
saya tidak paham,1
jd kl nilai kita jebol guru ada stok buat nambel nilai,0
sehingga jika nilai kami menurun guru memiliki cadangan untuk memperbaiki nilai,1
angkatan kita seakan angkatan baik terakhir,0
angkatan kita sepertinya angkatan baik terakhir,1
gua liat anak kls kelabakan,0
saya melihat anak anak di kelas kerepotan,1
gabisa jawab harus ngulang lagi maju nya next time,0
jika tidak mampu menjawab maka harus mengulang kembali lain kali,1
pdhl kl digeber ga semua bisa,0
padahal walaupun dilakukan dengan intensif belum tentu semuanya mampu,1
cuma yg ulet doang yg bisa,0
hanya yang rajin yang mampu,1
sampe gw gk nangkep lu ngomong apa,0
sampai saya tidak memahami apa yang kamu katakan,1
lb tepatnya kls gw blm disitu,0
lebih tepatnya kelas saya belum di sana,1
jujur gw main logika doang disini,0
sejujurnya saya hanya menggunakan logika disini,1
brrt bener ya kamus gw,0
berarti kamu saya benar,1
emg gw baca kamus lu,0
memangnya saya membaca kamusmu,1
kalian pinjem buku apa tanpa seijin gua,0
buku apa yang kalian pinjam tanpa seizin saya,1
catetan ga match sama punya temen,0
catatan tidak cocok dengan milik teman,1
jangan pura ga berdosa klian,0
kalian jangan berpura pura tidak berdosa,1
ngaku ga fotocopy catatan apa,0
akuilah catatan apa yang difotokopi,1
gw pinjem buku catetan lu aja kaga jir,0
saya bahkan tidak meminjam catatan kamu,1
lu oknum yg mengambil buku gua,0
kamu oknum yang mengambil buku saya,1
maaf saya memveto pendapat anda,0
maaf saya menolak pendapat anda,1
karena gw tidak merasa gw melakukan itu,0
karena saya tidak merasa melakukan hal tersebut,1
kalo kalian itu pnjm cttn gua lalu d fc lalu d balikin tnpa sepengetahuan gua,0
bahwa kalian meminjam catatan saya lalu difotokopi lalu dikembalikan tanpa sepengetahuan saya,1
ho sptnya narasumber lu menyesatkan,0
sepertinya narasumbermu menyesatkan,1
karena gua atau derry ga perna nekat bongkar tas lu,0
karena saya atau derry tidak pernah nekat membongkar tasmu,1
jangan hancurkan kepercayaan gua ni,0
jangan hancurkan kepercayaan saya ini,1
yauda kalo pernyataan itu memang tidak benar,0
ya sudah jika pernyataan tersebut memang tidak benar,1
tp gw mau usut ini sampe akarnya,0
tapi saya mau mengusut ini hingga akarnya,1
lagipula tas w gaada uang kas lagi,0
lagipula tas saya sudah tidak menyimpan uang kas lagi,1
krn saya gedek thd konspirasi fitnah,0
karena saya sangat tidak suka terhadap konspirasi fitnah,1
cb apa yg dikatakan narasumber lu,0
coba katakan apa yang diberitahukan narasumbermu,1
jadi derry mengalihkan perhatian gua,0
jadi derry mengalihkan perhatian saya,1
lu ambl catatan gua ,0
kamu mengambil catatan saya,1
lu fc dibawah,0
kamu fotokopi dibawah,1
lu naik lagi balikin catatan gua,0
kamu naik lagi mengembalikan catatan saya,1
derry mengalihkan gua lg,0
derry mengalihkan saya lagi,1
lu tau it cat apa ga,0
apakah kamu tahu catatan apa itu,1
hotspot fc catetan biasanya bio,0
catatan yang sering difotokopi biasanya biologi,1
gua dialihin perhatian sm derry,0
perhatian saya dialihkan oleh derry,1
justru w mau nanya kebenarannya,0
justru saya mau menanyakan kebenarannya,1
kata narasumber gua,0
menurut narasumber saya,1
michelle gabakal kasi pnjm cttn ini,0
michelle tidak akan meminjamkan catatan ini,1
dan gua berfkir keras cat apa yg bkin kalian sekreatif itu,0
dan saya berpikir keras catatan apa yang membuat kalian sekreatif itu,1
oh yauda kalo ga perbuat mah,0
ya sudah jika tidak melakukan,1
mari kita gunakan fakta gua benci baca catetan,0
mari kita gabungkan fakta bahwa saya benci membaca catatan,1
kl mau fc harus nunggu,0
jika ingin fotokopi maka harus menunggu,1
lu tau catetan lu tebel,0
kamu tahu catatanmu tebal,1
dan mnrt narasumber lu gw yg ambil dan turun fc terus naik lagi,0
dan menurut narasumbermu saya orang yang mengambil dan turun memfotokopi lalu naik lagi,1
menurut lu itu berapa lama jir,0
menurutmu hal itu memerlukan berapa lama,1
iya awalnya ga masuk akal juga,0
ya awalnya hal itu juga tidak masuk akal,1
kl begitu gw hrs pasang mata pasang telinga di kls lu mulai skrg,0
jika demikian saya harus pasang mata pasang telinga di kelasmu mulai sekarang,1
w jg mkir gamgkn cttn gua d fc dlm wktu singkat,0
saya juga berpikir tidak mungkin catatan saya difotokopi dalam waktu singkat,1
jd senin sidang maksud lu ini,0
jadi ini yang kamu maksud dengan senin sidang,1
gw sibuk kayany senen jd gua sidang lu dadakan,0
saya sepertinya akan sibuk saat senin jadi saya sidang kamu mendadak,1
tp karena lu mikir dan ga dapet ide catetan apa yg raib lu nanya sekarang,0
tapi karena kamu berpikir dan tidak dapat menentukan catatan apa yang hilang kamu bertanya sekarang,1
kwkw begitu lain kali michelle kl ada yg mencurigakan menyangkut kita monggo wae tanya frontal,0
haha kalau begitu lain kali michelle jika ada yang mencurigakan menyangkut kami silakan tanya langsung,1
gw denger dr narasumber jumat,0
saya mendengar dari narasumber pada hari jumat,1
ha jd mnrt dia kami melakukan itu hari jumat,0
jadi menurut dia kami melakukan hal itu hari jumat,1
klian melakukan itu bbrp waktu lalu,0
kalian melakukan hal itu beberapa waktu lalu,1
tp dy g blg kapan,0
tapi dia tidak mengatakan kapan,1
kl dr bahasanya brrt kisaran minggu ini,0
jika dinilai dari bahasanya berarti sekitar minggu ini,1
dia blg iya jason sndr yg blg,0
dia bilang iya jason sendiri yang bilang,1
coba aja lu tny mrk ,0
tanyakan saja pada mereka,1
kan mrk tmn lu jga,0
bukankah mereka temanmu juga,1
kalimat itu yg bkin gua mkir bahwa itu bnrn trjd,0
kalimat itulah yang membuat saya berpikir bahwa hal itu sungguh terjadi,1
makanya gua mengesampingkan fakta yg gw punya,0
sehingga saya mengesampingkan fakta yang saya miliki,1
kl dia jujur brrt dia pernah ngomong ama gw,0
jika dia jujur berarti dia pernah berbicara dengan saya,1
kok lucu ya ini semua wkwkwkwk,0
lucu sekali semua ini hahahaha,1
tp di kls lu gw cuma nyari nicholas tempo hari,0
tapi di kelas kamu saya hanya mencari nicholas setiap hari,1
percayalah sm w kalo lu usut ini akan jd ribet,0
percayalah pada saya jika kamu mengusut hal ini akan menjadi rumit,1
jd jgn ngegas dn jgn membantah gua kali ini,0
jadi jangan terburu buru dan jangan membantah saya kali ini,1
akhirnya anda merasakan penderitaan kls kami,0
akhirnya anda merasakan penderitaan kelas kami,1
kan kalo ga d balikin blm tw nnt snen d balikin ga,0
karena jika tidak dikembalikan saya tidak tahu senin akan dikembalikan atau tidak,1
soalny dia cek latihan gitu,0
karena dia mengecek latihan,1
keknya ga bakal balik kl mepet,0
sepertinya tidak akan kembali jika tidak sempat,1
untung sblm w kmpul udh gua foto,0
untung sebelum saya kumpulkan sudah saya foto,1
hrsnya dia yg dpt nick anak kimia,0
harusnya dia yang mendapatkan panggilan anak kimia,1
tp ad bbrp soal gw tls di bku cttn dan itu ga gw foto hm,0
tapi ada beberapa soal saya tulis di buku catatan dan tidak saya foto,1
gua hr ni ga ke gereja tu,0
saya hari ini tidak ke gereja,1
pokony relasi yg dkt sm gua kalo nilainya ga meningkat mah bohong,0
intinya orang orang yang dekat dengan saya tidak mungkin jika nilainya tidak meningkat,1
zaman gw msh bisa kimia,0
masa saya masih bisa kimia,1
tp bu sugi pro,0
tapi ibu sugi ahli,1
hbs itu ditegor dulu sekelas baru dirayain,0
setelah itu satu kelas ditegur terlebih dahulu baru dirayakan,1
kan lu tau gw tuh susah kimia,0
kamu sudah tahu bahwa saya kesulitan dalam pelajaran kimia,1
tau sendiri susah kok lu mala maen ps kemaren,0
kamu tahu bahwa pelajaran itu susah tetapi mengapa kamu bermain kemarin,1
jadi anggepannya kita ngerjain semua soal latihan ya,0
Jadi kita mengajarkan semua soal latihan tersebut,1
jujur gw udh capek ngertiin bio,0
sejujurnya saya sudah lelah untuk memahami biologi,1
blm lagi itu laporan pertanyaannya gw kelupaan,0
terlebih lagi saya melupakan pertanyaan laporan tersebut,1
kyk lu lgi nolak permintaan bu sugi,0
seperti kamu sedang menolak permintaan ibu Sugi,1
setidaknya gw bisa bener angka depan,0
Setidaknya saya bisa benar pada angka bagian depan,1
kn gw nny bu guru,0
kan saya bertanya ibu guru,1
gmn bs makan analoginy spt ni,0
bagaimana bisa makan jika analoginya seperti ini,1
lu tau ga gua laper cuk,0
apakah kamu tahu bahwa saya laper,1
baru gw makan indomie soto sama nasi,0
saya baru saja makan indomie soto dengan nasi,1
bio gua udh kibar bendera putih,0
Saya sudah mengibarkan bendera putih untuk pelajaran Biologi,1
mat gua kibar bendera item,0
saya mengibarkan bendera hitam untuk pelajaran Matematika,1
gua tinggal itung kancing kalo gni caranya,0
Saya hanya tinggal menghitung kancing jika begini caranya,1
bisa dijitak mortal penggerus lu,0
kamu dapat dijitak dengan mortal penggerus,1
demi aapapun pas diajarin itu gua ga dikelas,0
Kita sedang diajarkan saya tidak berada di dalam kelas,1
gw di ajarin dan gw lgi cengo pas di ksh tau,0
saya diajarkan dan saya lagi bengong ketika diberitahukan ,1
depan gua masi buku bio,0
depan saya masih buku biologi,1
gw tau lu anak bio tpi bsk ada kimia juga,0
saya tahu anda anak biologi tetapi besok juga ada pelajaran kimia,1
sebelum gw bsk sengaja gk msk,0
Sebelum saya sengaja untuk tidak hadir besok,1
liat yg lebih kecil terus di puter,0
Lihatlah yang lebih kecil lalu diputar,1
yg hasilnya itu berarti sama,0
yang menghasilkan itu berarti sama,1
klo bener berarti beres itu,0
jika benar berarti sudah selesai,1
benci kali dia ama gua,0
sepertinya dia sangat membenci saya,1
gimana gua itung ph pake listrik,0
bagaimana saya menghitung pH menggunakan listrik,1
walaupun metodenya aga maksa tp gw dpt,0
meskipun metodenya terkesan memaksa tetapi saya mendapatkannya,1
kita ga diajarin ph penyepuhan susunan seri batere,0
kita tidak diajarkan pH penyepuhan dengan susunan seri baterai,1
lu suru gua bikin pake catetan orang,0
kamu menyuruh saya untuk membuat catatan dengan menggunakan catatan orang,1
kata kelas gua lu diajarin,0
menurut kelas saya kamu diajarkan ,1
jangan membabi buta deh cuk,0
kamu jangan membabi buta,1
mungkin ga full diajarinnya tp lmyn la,0
mungkin kamu tidak diajarkan secara keseluruhan tetapi cukup juga,1
dan dy ga blg bener apa salah,0
dan dia mengatakan apakah benar atau salah,1
dia cuma liat trus duduk lg,0
dia hanya melihat kemudian duduk kembali,1
laporan bio cara kerjanya apa aja,0
apa saja yang dikerjakan dalam laporan biologi,1
gw inget bu sugi ada jawabin itu di kertas,0
saya mengingat bahwa ibu sugi ada membuat jawabannya pada kertas tersebut,1
kertasnya gw selipin di buku cetak,0
saya menyelipkan kertas tersebut di dalam buku cetak,1
buku cetakny gw tinggal di sekola,0
saya meninggalkan buku cetak tersebut di sekolah,1
knp gua ga tenang,0
mengapa saya tidak tenang,1
mikirin bio melulu,0
memikirkan biologi secara terus menerus,1
malahan malemnya gua pantengin bio,0
Malah malam itu saya belajar biologi dengan intensif,1
kim gua jadiin anak tiri,0
saya menjadikan kimia sebagai anak tiri,1
tp justru si anak tiri ini yg lancar gw kerjain di ulangan,0
tetapi justru anak tiri ini yang lancar saya mengerjakannya pada ulangan,1
yg paling disayang justru bikin kita kecewa kadang,0
yang paling disayang justru membuat kita terkadang semakin kecewa,1
salah dmn cara bljr gw,0
dimana kesalahan dalam cara belajar saya,1
knpkita jd bljr materi sem dua,0
mengapa kita mempelajari materi semester dua,1
trs hbs itu dia blg pm berikutnya lanjut bahas soal yg dr laptop itu,0
kemudian dia mengatakan pendalaman materi selanjutnya akan membahas soal dari laptop tersebut,1
lu tau kan guru paling unpredict siapa,0
kamu tahu siapakah guru yang paling unpredict,1
mgkn hasil pengalaman sekian thn,0
mungkin hasil pengalaman sekian tahun,1
baca pola kelakuan anak semasa sma,0
membaca pola kelakuan seorang anak semasa SMA,1
msh perlu bantuan ga ni gambar,0
apakah gambar ini masih diperlukan bantuan,1
dia jadi butuh kepastian dari entah siapa,0
jadinya dia membutuhkan kepastian dari siapa,1
mungkin dari yg di suroboyo,0
mungkin yang dari surabaya,1
kalo butuh kepastian harus berani nanya,0
jika membutuhkan kepastian harus berani bertanya,1
ah kacau semua kl gw galau sebelum ujian mat,0
semua akan kacau jika saya galau sebelum ujian matematika,1
bu sugi kl mara serem ya,0
ibu sugi seram jika marah,1
baca buku utk belajar vs utk mengajar,0
baca buku untuk belajar vs untuk mengajar,1
menurut lu pada bagus yg mana,0
menurut kalian bagusan yang mana,1
gw separo teler tp gw liat muka doi ud kusut,0
saya sudah setengah mabuk tetapi saya melihat mukanya sudah kusut,1
gw maju gw uda panikan ,0
saya maju saya sudah panik,1
skenario terburuk gw salah buku,0
skenario terburuk adalah saya salah buku,1
ga urut jd ga kebaca sama dia,0
tidak urut sehingga dia tidak terbaca,1
disitulah gua tau gua salah jawab,0
disitulah saya tahu saya salah menjawab ,1
tp jujur si gw ga mikir liat penyepuhan ph ,0
tetapi jujur saya tidak terpikirkan untuk melihat penyepuhan pH,1
saya bikin di kertas,0
saya mengerjakannya di kertas,1
sumpa gua masi didepan telen ludah doang ,0
sumpah saya masih didepan menelan ludah,1
ga perna gua liat dia nendang murid keluar kelas,0
saya tidak pernah melihat dia menendang murid keluar dari kelas,1
trus pake acara nyinggung kelas lgi,0
terus menggunakan acara menyinggung kelas lagi,1
di kelas gua dia ga marah,0
di kelas saya dia tidak marah,1
cuma di paraf doang pny w,0
milik saya hanya diparaf saja,1
untungnya kita ngerjain secara murni,0
untung kita mengerjakannya secara murni,1
kok dia b aja d kls gua,0
mengapa dia biasa saja di kelas saya,1
nnt de liat hr dl,0
nanti lihat hari dulu,1
sampe ketika gw ga kerjain soal gampang dia ga terima,0
hingga ketika saya tidak mengerjakan soal gampang dia tidak menerimanya,1
mungkin kl dia nyemprot lu begitu reaksi lu berbeda,0
mungkin dia akan menyemprotkan kamu ketika reaksi kamu berbeda,1
gua jujur jason kalo gw gabs,0
saya jujur kepada jason jika saya tidak bisa,1
mungkin harus gw fc metode lu,0
mungkin saya harus fotokopi metode kamu,1
metode gua emg kek gt,0
metode saya memang seperti itu,1
org vri nyontek gue wkwk,0
vri menyontek dari saya,1
percayalah itu vri nyontek gw ,0
percayalah vri menyontek dari saya ,1
efek duet kim n bio,0
efek duet kimia dan biologi,1
ku kan terbang tinggi di awan,0
aku akan terbang tinggi di awan,1
anak laknat apa anak kimia,0
anak laknat atau anak kimia,1
derry bsk gw kirim presentasi agama,0
derry besok saya akan mengirimkan presentasi agama,1
gua kyknya agak gila karena alkali tana,0
saya sepertinya agak gila karena alkali tanah,1
tp feel ketika lu memahami sesuatu itu,0
tp perasaan ketika kamu memahami sesuatu itu,1
dr buku yg laknat itu,0
dari buku yang laknat itu,1
entah bnr ap ga kita liat bsk wkwkwk,0
benar atau tidaknya kita lihat besok hahaha,1
gw merasa terusik dgn ini,0
saya merasa terusik dengan ini,1
lu mancing debat jir,0
anda ini memancing debat,1
gw batal mandi karena ladenin ini lbh seru,0
saya tidak jadi mandi karena meladeni hal ini lebih seru,1
hub antara ttik ddi sm kereaktifan adala tidak ada,0
tidak ada hubungan antara titik didih dengan kereaktifan,1
itu suhu dimana larutan tersebut akan mendidih dan berubah mnjd fase berikutnya,0
itulah suhu dimana larutan tersebut akan mendidih dan berubah menjadi fase berikutnya,1
tp gw ngerasa aneh gt,0
tapi saya merasa aneh,1
jadi dia lebi reaktif toh,0
jadi dia lebih reaktif,1
gw jd gbs mandi dgn tenang,0
saya jadi tidak bisa mandi dengan tenang,1
karena td bikin ppt air sadah,0
karena tadi membuat presentasi air sadah,1
gw liat sabun jd ilfeel,0
saya jadi geli melihat sabun,1
sabun dlm air sadah ga bakal berbusa,0
sabun dalam air sadah tidak akan berbusa,1
tp lu jdnya apa si,0
tapi apa yang menjadi tujuanmu,1
udah lu mandi dlu cuk,0
sudah mandi dulu saja kamu,1
lu jg ditanya ama vri gituan ya,0
vri juga bertanya hal yang sama padamu ya,1
uap air itu datengnya kalo air lu apain,0
apa yang perlu kamu lakukan untuk menghasilkan uap air,1
gw jd tertarik sama aloi,0
saya jadi tertarik terhadap aloi,1
es itu dingin apa panas,0
apakah es itu dingin atau panas,1
emas putih membuat alergi,0
emas putih menyebabkan alergi,1
beku tapi panas itu apa,0
apa yang dimaksud dengan beku tapi panas,1
kenapa bekas gigitan nyamuk gua makin banyak,0
kenapa bekas gigitan nyamuk saya semakin banyak,1
sembuhnya butuh bulanan munculnya dalam hari anj,0
untuk sembuh perlu waktu bulanan sedangkan timbul yang baru setiap hari,1
kesadahan sementara cepat kuliahin gue,0
cepat ajarkan saya tentang kesadahan sementara,1
lu baca cetak sebenernya udh cukup sih,0
sebenarnya dengan kamu membaca buku cetak itu sudah cukup,1
gw tw lu plg benci soal kyk gini,0
saya tahu kamu paling benci dengan soal seperti ini,1
gw aja gtw gmn lu bedainnya,0
