Kalimat,Formalitas
dan dia mengatakan apakah benar atau salah,1
dia cuma liat trus duduk lg,0
dia hanya melihat kemudian duduk kembali,1
laporan bio cara kerjanya apa aja,0
apa saja yang dikerjakan dalam laporan biologi,1
gw inget bu sugi ada jawabin itu di kertas,0
saya mengingat bahwa ibu sugi ada membuat jawabannya pada kertas tersebut,1
kertasnya gw selipin di buku cetak,0
saya menyelipkan kertas tersebut di dalam buku cetak,1
buku cetakny gw tinggal di sekola,0
saya meninggalkan buku cetak tersebut di sekolah,1
knp gua ga tenang,0
mengapa saya tidak tenang,1
mikirin bio melulu,0
memikirkan biologi secara terus menerus,1
malahan malemnya gua pantengin bio,0
Malah malam itu saya belajar biologi dengan intensif,1
kim gua jadiin anak tiri,0
saya menjadikan kimia sebagai anak tiri,1
tp justru si anak tiri ini yg lancar gw kerjain di ulangan,0
tetapi justru anak tiri ini yang lancar saya mengerjakannya pada ulangan,1
yg paling disayang justru bikin kita kecewa kadang,0
yang paling disayang justru membuat kita terkadang semakin kecewa,1
salah dmn cara bljr gw,0
dimana kesalahan dalam cara belajar saya,1
knpkita jd bljr materi sem dua,0
mengapa kita mempelajari materi semester dua,1
trs hbs itu dia blg pm berikutnya lanjut bahas soal yg dr laptop itu,0
kemudian dia mengatakan pendalaman materi selanjutnya akan membahas soal dari laptop tersebut,1
lu tau kan guru paling unpredict siapa,0
kamu tahu siapakah guru yang paling unpredict,1
mgkn hasil pengalaman sekian thn,0
mungkin hasil pengalaman sekian tahun,1
baca pola kelakuan anak semasa sma,0
membaca pola kelakuan seorang anak semasa SMA,1
msh perlu bantuan ga ni gambar,0
apakah gambar ini masih diperlukan bantuan,1
dia jadi butuh kepastian dari entah siapa,0
jadinya dia membutuhkan kepastian dari siapa,1
mungkin dari yg di suroboyo,0
mungkin yang dari surabaya,1
kalo butuh kepastian harus berani nanya,0
jika membutuhkan kepastian harus berani bertanya,1
ah kacau semua kl gw galau sebelum ujian mat,0
semua akan kacau jika saya galau sebelum ujian matematika,1
bu sugi kl mara serem ya,0
ibu sugi seram jika marah,1
baca buku utk belajar vs utk mengajar,0
baca buku untuk belajar vs untuk mengajar,1
menurut lu pada bagus yg mana,0
menurut kalian bagusan yang mana,1
gw separo teler tp gw liat muka doi ud kusut,0
saya sudah setengah mabuk tetapi saya melihat mukanya sudah kusut,1
gw maju gw uda panikan ,0
saya maju saya sudah panik,1
skenario terburuk gw salah buku,0
skenario terburuk adalah saya salah buku,1
ga urut jd ga kebaca sama dia,0
tidak urut sehingga dia tidak terbaca,1
disitulah gua tau gua salah jawab,0
disitulah saya tahu saya salah menjawab ,1
tp jujur si gw ga mikir liat penyepuhan ph ,0
tetapi jujur saya tidak terpikirkan untuk melihat penyepuhan pH,1
saya bikin di kertas,0
saya mengerjakannya di kertas,1
sumpa gua masi didepan telen ludah doang ,0
sumpah saya masih didepan menelan ludah,1
ga perna gua liat dia nendang murid keluar kelas,0
saya tidak pernah melihat dia menendang murid keluar dari kelas,1
trus pake acara nyinggung kelas lgi,0
terus menggunakan acara menyinggung kelas lagi,1
di kelas gua dia ga marah,0
di kelas saya dia tidak marah,1
cuma di paraf doang pny w,0
milik saya hanya diparaf saja,1
untungnya kita ngerjain secara murni,0
untung kita mengerjakannya secara murni,1
kok dia b aja d kls gua,0
mengapa dia biasa saja di kelas saya,1
nnt de liat hr dl,0
nanti lihat hari dulu,1
sampe ketika gw ga kerjain soal gampang dia ga terima,0
hingga ketika saya tidak mengerjakan soal gampang dia tidak menerimanya,1
mungkin kl dia nyemprot lu begitu reaksi lu berbeda,0
mungkin dia akan menyemprotkan kamu ketika reaksi kamu berbeda,1
gua jujur jason kalo gw gabs,0
saya jujur kepada jason jika saya tidak bisa,1
mungkin harus gw fc metode lu,0
mungkin saya harus fotokopi metode kamu,1
metode gua emg kek gt,0
metode saya memang seperti itu,1
org vri nyontek gue wkwk,0
vri menyontek dari saya,1
percayalah itu vri nyontek gw ,0
percayalah vri menyontek dari saya ,1
efek duet kim n bio,0
efek duet kimia dan biologi,1
ku kan terbang tinggi di awan,0
aku akan terbang tinggi di awan,1
anak laknat apa anak kimia,0
anak laknat atau anak kimia,1
derry bsk gw kirim presentasi agama,0
derry besok saya akan mengirimkan presentasi agama,1
gua kyknya agak gila karena alkali tana,0
saya sepertinya agak gila karena alkali tanah,1
tp feel ketika lu memahami sesuatu itu,0
tp perasaan ketika kamu memahami sesuatu itu,1
dr buku yg laknat itu,0
dari buku yang laknat itu,1
entah bnr ap ga kita liat bsk wkwkwk,0
benar atau tidaknya kita lihat besok hahaha,1
gw merasa terusik dgn ini,0
saya merasa terusik dengan ini,1
lu mancing debat jir,0
anda ini memancing debat,1
gw batal mandi karena ladenin ini lbh seru,0
saya tidak jadi mandi karena meladeni hal ini lebih seru,1
hub antara ttik ddi sm kereaktifan adala tidak ada,0
tidak ada hubungan antara titik didih dengan kereaktifan,1
itu suhu dimana larutan tersebut akan mendidih dan berubah mnjd fase berikutnya,0
itulah suhu dimana larutan tersebut akan mendidih dan berubah menjadi fase berikutnya,1
tp gw ngerasa aneh gt,0
tapi saya merasa aneh,1
jadi dia lebi reaktif toh,0
jadi dia lebih reaktif,1
gw jd gbs mandi dgn tenang,0
saya jadi tidak bisa mandi dengan tenang,1
karena td bikin ppt air sadah,0
karena tadi membuat presentasi air sadah,1
gw liat sabun jd ilfeel,0
saya jadi geli melihat sabun,1
sabun dlm air sadah ga bakal berbusa,0
sabun dalam air sadah tidak akan berbusa,1
tp lu jdnya apa si,0
tapi apa yang menjadi tujuanmu,1
udah lu mandi dlu cuk,0
sudah mandi dulu saja kamu,1
lu jg ditanya ama vri gituan ya,0
vri juga bertanya hal yang sama padamu ya,1
uap air itu datengnya kalo air lu apain,0
apa yang perlu kamu lakukan untuk menghasilkan uap air,1
gw jd tertarik sama aloi,0
saya jadi tertarik terhadap aloi,1
es itu dingin apa panas,0
apakah es itu dingin atau panas,1
emas putih membuat alergi,0
emas putih menyebabkan alergi,1
beku tapi panas itu apa,0
apa yang dimaksud dengan beku tapi panas,1
kenapa bekas gigitan nyamuk gua makin banyak,0
kenapa bekas gigitan nyamuk saya semakin banyak,1
sembuhnya butuh bulanan munculnya dalam hari anj,0
untuk sembuh perlu waktu bulanan sedangkan timbul yang baru setiap hari,1
kesadahan sementara cepat kuliahin gue,0
cepat ajarkan saya tentang kesadahan sementara,1
lu baca cetak sebenernya udh cukup sih,0
sebenarnya dengan kamu membaca buku cetak itu sudah cukup,1
gw tw lu plg benci soal kyk gini,0
saya tahu kamu paling benci dengan soal seperti ini,1
gw aja gtw gmn lu bedainnya,0
bahkan saya tidak tahu bagaimana kamu membedakannya,1
jjr gw jg g ngrt,0
sejujurnya saya juga tidak mengerti,1
kwkwkw yes it jg bs,0
hahaha ya itu juga bisa,1
sejak kasus laju reaksi kunjaw instan kyk gitu gw mala jd ngeri,0
semenjak kasus laju reaksi saya takut dengan kunci jawaban instan seperti itu,1
kan si bu sugi minta cara,0
karena ibu sugi meminta caranya,1
jadi itu sebagai patokan aja,0
jadi gunakan itu sebagai acuan saja,1
kl dia mau pake itu si silakan,0
jika dia mau memakai itu maka silakan,1
tp busugi pasti tau mana yg kerja natural mana pake pelet,0
tapi ibu sugi pasti mengetahui mana yang bekerja dengan jujur dan mana yang tidak,1
dan gw rasa mustahil itu,0
dan saya rasa itu mustahil,1
gw buang ide gw soal video yg wkt itu,0
saya membuang ide soal video waktu itu,1
jason mau debat apa pkn,0
apa yang mau jason perdebatkan mengenai pkn,1
sistem pem ada apa aj si sbnrnya,0
sebenarnya ada sistem pemerintahan apa saja,1
gw jd ga fokus sial,0
saya menjadi tidak fokus,1
ap bedanya bentuk pem sistem pem,0
apa perbedaan bentuk pemerintahan dan sistem pemerintahan,1
gua dari dulu gpernah tau bedanya apa,0
dari dulu saya tidak pernah mengetahui apa perbedaannya,1
tp gw rasa lbh tinggi tingkatannya itu sistem pem,0
tapi saya rasa tingkatan yang lebih tinggi adalah sistem pemerintahan,1
tp ga dia g pk demokrasi,0
tapi dia tidak memakai demokrasi,1
kek ada yg ga beres,0
seperti ada yang tidak beres,1
ciri utama parlementer it dia punya perdana menteri setau w gt,0
sepengetahuan saya ciri utama parlementer adalah dia memiliki perdana menteri,1
pengen nanya ke bu sugi soal slide,0
ingin bertanya pada ibu sugi mengenai slide,1
tp nanti ganggu di lab,0
tapi nanti mengganggu di laboratorium,1
lu tlg jd akreditor ppt gw dong,0
kamu tolong jadi akreditor presentasi saya,1
katanya lu gk mau msk bsk,0
bukankah kamu tidak mau masuk besok,1
eh mw k ui g bsk,0
apakah besok mau ke ui,1
gw taksir kita keliling fmipa,0
saya memperkirakan kita akan berkeliling fmipa,1
sm tekno biopros kan di teknik,0
dan teknologi bioproses terdapat di teknik,1
lu mau nanya apa ga jason,0
apakah kamu mau menanyakan sesuatu jason,1
y ud bikin akun sono,0
ya sudah silakan buat akun,1
ya kek semacem akun gugel,0
seperti akun google,1
tp ini khusus ui punya,0
tapi yang ini khusus untuk ui,1
gw ngikut klo ada faedahnya,0
saya ikut jika ada manfaatnya,1
mending gw main ke rmh temen gw,0
lebih baik saya bermain ke rumah teman saya,1
jason ke sana mau ngapain,0
apa yang mau jason lakukan di sana,1
kan dr webnya dia blg buka jan,0
berdasarkan web dia mengatakan akan buka pada januari,1
gtw cek aja sekalian bikin akun,0
saya tidak tahu cek saja bersamaan dengan membuat akun,1
lu bikin akun nnti disana gt,0
apakah kamu akan membuat akun nanti di sana,1
pilih jalur masuk dr situ,0
jalur masuk dipilih dari sana,1
liat hasil sbmptn nanti dr situ juga,0
hasil sbmptn juga dilihat dari sana,1
ya kadang ada yg mau paralel,0
terkadang ada yang mau paralel,1
aduh jgn bikin paink donggg,0
tolong jangan membuat saya panik,1
panik tp ntar lulus cumlaude gua slepet lu,0
awas saja kalau kamu panik tapi lulus cumlaude,1
trs liat penjelasan jalur masukny,0
kemudian lihatlah penjelasan jalur masuknya,1
gliran ad wkt d ajak pd gmw,0
ketika ada waktu kalian tidak mau pergi ketika diajak,1
jadi lu mau cus apa mau cr waktu lain lg,0
apakah kamu mau pergi atau mencari waktu lain lagi,1
kl lu mau daftar buru,0
cepatlah jika kamu mau mendaftar,1
bdanya yg atas sm bwh apa,0
apa perbedaan antara yang atas dengan yang bawah,1
lu buka dl de webnya,0
bukalah situsnya terlebih dahulu,1
ah kyknya gw blm bs isi hr ini,0
sepertinya aku tidak bisa mengisinya hari ini,1
lu mw isi hr ini,0
kamu mau mengisinya hari ini,1
kl bisa diterima apa kaga kan blm tau org it cadangan,0
karena itu bersifat cadangan maka belum dapat diketahui diterima atau tidak,1
lu bayar itu dp kl lu ud dinyatakan diterima,0
kamu membayar uang muka ketika kamu sudah dinyatakan diterima,1
keterima aja belom lu bayar apaan,0
apa yang kamu bayar jika kamu bahkan belum diterima,1
iya kalo gua diterima mas,0
ya jika saya diterima,1
kalo diterima lu mw msk sana,0
jika diterima maukah kamu masuk ke sana,1
kl bisa ptn ya ptn mz,0
jika bisa ptn maka ptn,1
nah trs ada dua kemungkinan dinyatakan lulus seleksi atau ga lulus seleksi,0
kemudian ada dua kemungkinan yaitu dinyatakan lulus seleksi atau tidak lulus seleksi,1
nah itu gw ada pilihan,0
saya ada pilihan dalam hal itu,1
kl mau kuliah disana bayar dulu dp nya itu,0
jika ingin berkuliah disana maka bayar dulu uang muka tersebut,1
kl gw ga mw disitu,0
jika saya tidak mau disitu,1
misal di ui gw tembus,0
misalnya saya diterima di ui,1
konteks yg gw mksd kan fix msk,0
konteks yang saya maksud adalah sudah pasti masuk,1
kacangin aja nanti dia anggep otomatis gw mengundurkan diri,0
abaikan saja karena nanti saya otomatis dianggap mengundurkan diri,1
masa hasilnya ga keluar ampe agustus,0
maka hasilnya tidak akan keluar sampai agustus,1
ni ya gw kasi contoh sbmptn thn lalu,0
saya berikan sbmptn tahun lalu sebagai contoh,1
makin gw baca makin bikin pusing,0
semakin saya baca semakin memusingkan,1
knp sastra inggris terlihat menggoda,0
kenapa sastra inggris terlihat menggoda,1
ya cukup natural aja kemampuan debat gw,0
kemampuan debat saya cukup natural,1
mnrt gw debat lebih penting argumen lu kritis drpd ngomong lu rapi,0
menurut saya argumen yang kritis lebih penting daripada komunikasi yang rapi,1
knp gk di indonesia kyk gini,0
kenapa indonesia tidak seperti ini,1
org dibakar karena dituduh nyolong ampli,0
orang dibakar karena dituduh mencuri ampli,1
lu klo mingggu pelayanan smpe malem y,0
apakah kamu pelayanan sampai malam setiap minggu,1
bisa izin sih klo gw lgi sibuk,0
ketika saya sedang sibuk sebenarnya bisa izin,1
gw mau ciduk kalian,0
saya mau menculik kalian,1
lu cari lagu tabel periodik,0
kamu cari lagu tabel periodik,1
banner gelas plstik lima m,0
banner gelas plastik lima meter,1
digulung setenga mampus tau ga,0
sangat susah untuk digulung,1
ampe gw mesti angkat bertiga,0
sampai saya harus mengangkatnya bertiga,1
gw rasa bkn bu sugi,0
saya rasa bukan ibu sugi,1
senen gua di eksekusi,0
senin saya dieksekusi,1
gw memakai nama dan menyesuaikan sifat lu,0
saya memakai nama dan menyesuaikan sifatmu,1
semua pertanyaan bu sugi gw bakal geser ke lu,0
semua pertanyaan ibu sugi akan saya berikan kepadamu,1
itu si derry tadi mau bunuh gua di rumah nico,0
derry tadi berencana membunuh saya di rumah nico,1
trs br nyadar kimia presentasi kelompok dia sama gw blm maju,0
kemudian dia menyadari bahwa presentasi kimia kelompok dia dan saya belum selesai,1
ngomong jgn dibikin ambigu deh,0
jangan membuat kalimat yang ambigu,1
sry gk ikutan kaki gw gk bisa buat gerak,0
maaf saya tidak ikut karena kaki saya tidak bisa digunakan untuk bergerak,1
gw br kelar mandi,0
saya baru selesai mandi,1
baca berjuta kali ga ngrt,0
dibaca berjuta kali tetap tidak mengerti,1
kl lu rasa humornya ga dapet y jgn dicentang,0
jika kamu merasa tidak mendapat humornya maka jangan dicentang,1
mau yg bs d syg,0
mau yang bisa disayang,1
serius michelle mw yg mn,0
serius michelle mau yg mana,1
fc yg td bkn gw yg pegang lg,0
fotokopi yang tadi bukan saya lagi yang pegang,1
